Artist,Song Name,Release Year,Youtube Views,Song Duration,Energy,Loudness,Tempo
Bathiya & Santhush,Wasanthaye,1998,51000,290.04,0.1669,-9.75,109.96
Bathiya & Santhush,Life,2000,27000,277.33,0.2009,-10.7,109.96
Bathiya & Santhush,Unmadini Hanguna,2002,1100000,251.95,0.1671,-11.79,143.55
Bathiya & Santhush,Tharunyaye,2002,22000,260.18,0.1461,-16.16,99.38
Bathiya & Santhush,Neththara,2007,522000,267.52,0.1599,-11.64,99.38
Bathiya & Santhush,Sara Sihina,2010,177000,289.57,0.1487,-12.38,136.0
Bathiya & Santhush,Hoiya Hoiya,2010,235000,208.3,0.1849,-11.68,103.36
Bathiya & Santhush,Sanda Re,2010,174000,283.61,0.1565,-11.79,161.5
Bathiya & Santhush,Master Sir,2010,242000,237.14,0.205,-9.87,120.19
Bathiya & Santhush,Keewa,2010,300000,274.05,0.1769,-11.16,114.84
Bathiya & Santhush,Paya Ena,2005,183000,281.31,0.2012,-8.46,114.84
Bathiya & Santhush,Chandani Payala,2005,498000,301.27,0.1533,-10.49,109.96
Bathiya & Santhush,Kiri Kodu,2005,4300000,275.85,0.1402,-13.9,74.9
Bathiya & Santhush,Pini Binduwak,2005,613000,204.33,0.1562,-10.8,114.84
Bathiya & Santhush,Meeduma Uthurana,2005,646000,306.13,0.1352,-14.32,126.05
Bathiya & Santhush,Mana Bandu,2005,19000,260.57,0.1504,-13.51,132.51
Bathiya & Santhush,Pathu Pem Pathum,2012,478000,305.5,0.1815,-9.78,161.5
Bathiya & Santhush,Ai Kale Adare,2019,786000,279.04,0.1921,-10.89,53.28
Bathiya & Santhush,Gum Nade,2008,2600000,301.87,0.2131,-9.8,90.67
Centigradz,Dark Angel,2005,2200000,239.62,0.1572,-9.3,93.96
Centigradz,Oba Mata Himivedo,2005,365000,200.75,0.1479,-12.33,78.3
Centigradz,Sandawathiye,2005,2300000,255.22,0.1379,-12.96,86.13
Centigradz,Sulanga Se,2005,1800000,221.26,0.0878,-12.53,152.0
Centigradz,Tradition,2005,12000,228.34,0.2091,-11.1,123.05
Centigradz,Rusiri,2009,1300000,227.11,0.1823,-10.87,152.0
Centigradz,Jaya Jaya Sri Lanka,2009,575000,228.57,0.1301,-11.55,90.67
Centigradz,Nil Sanda Madala,2011,746000,242.34,0.1622,-9.86,139.67
Centigradz,Pahasara Obe Adare,2012,38000000,204.54,0.1502,-13.6,95.7
Centigradz,Hello Hello,2012,1300000,210.08,0.1645,-12.02,101.33
Centigradz,Siriyavi,2014,1800000,221.41,0.1407,-7.86,99.38
Centigradz,Obata Nohaka,2014,9300000,179.85,0.1569,-8.17,103.36
Centigradz,Diwrala Pawasanna,2016,382000,235.65,0.1567,-7.51,92.29
Centigradz,Ranwan Maldam,2020,16000000,208.17,0.2172,-11.69,95.7
Centigradz,Man Mulawee,2020,471000,173.69,0.2276,-6.69,114.8
Centigradz,Sitha Saluna,2021,596000,215.64,0.1283,-11.27,130.81
Centigradz,Vise Vise,2021,1000000,248.64,0.2729,-10.36,104.17
Centigradz,Dangakari,2023,1800000,193.25,0.1498,-8.8,100.45
Kasun Kalhara,Oba Pipuna,2001,21000,213.11,0.0888,-11.93,92.29
Kasun Kalhara,Eka Wasanthayaka,2004,36000,245.19,0.2366,-8.99,90.67
Kasun Kalhara,Heenayaki Mata Adare,2004,4800000,185.57,0.104,-13.39,112.35
Kasun Kalhara,Arabumama Kadulak Wela,2008,777000,279.35,0.0902,-13.37,161.5
Kasun Kalhara,Sanda Ona,2008,292000,224.78,0.121,-12.82,132.51
Kasun Kalhara,Ananthayata Yana Paara Dige,2011,709000,319.56,0.1689,-10.91,178.21
Kasun Kalhara,Adara Mal Wala,2011,187000,212.56,0.1574,-12.37,161.5
Kasun Kalhara,Kaulu Piyanpath,2011,549000,225.91,0.1397,-9.97,161.5
Kasun Kalhara,Sanda Mithuri,2011,1700000,249.57,0.188,-9.5,120.19
Kasun Kalhara,Akasa Gage,2012,27000,258.51,0.1666,-12.03,105.47
Kasun Kalhara,Math Mal Sena,2012,471000,229.49,0.1255,-11.68,86.13
Kasun Kalhara,Adharema Geethayak,2013,667000,198.56,0.1924,-11.61,93.96
Kasun Kalhara,Atheethaye Maa,2015,1200000,254.04,0.1619,-10.58,103.36
Kasun Kalhara,Ahasin Eha,2016,7600000,192.03,0.0923,-9.96,93.96
Kasun Kalhara,Melaa,2017,667000,219.61,0.1329,-11.27,139.67
Kasun Kalhara,Hitha Hoyanna,2023,470000,292.53,0.1905,-8.58,122.28
Kasun Kalhara,Mihidum Dumaraye,2023,463000,315.43,0.1849,-11.11,99.38
Kasun Kalhara,Lihiniye,2023,236000,193.15,0.156,-13.65,101.33
Kasun Kalhara,Matath Kaviyak Liyanna,2023,8500000,155.12,0.2198,-8.13,156.25
